Date,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
1993-07-15,450.089996,450.119995,447.26001,449.220001,277810000,449.220001
1993-07-16,449.070007,449.079987,445.660004,445.75,263100000,445.75
1993-07-19,445.75,446.779999,444.829987,446.029999,216370000,446.029999
1993-07-20,446.029999,447.630005,443.709991,447.309998,277420000,447.309998
1993-07-21,447.279999,447.5,445.839996,447.179993,278590000,447.179993
1993-07-22,447.179993,447.230011,443.720001,444.51001,249630000,444.51001
1993-07-23,444.540009,447.100006,444.540009,447.100006,222170000,447.100006
1993-07-26,447.059998,449.5,447.040009,449.089996,222580000,449.089996
1993-07-27,449,449.440002,446.76001,448.23999,256750000,448.23999
1993-07-28,448.25,448.609985,446.589996,447.190002,273100000,447.190002
1993-07-29,447.190002,450.769989,447.190002,450.23999,261240000,450.23999
1993-07-30,450.190002,450.220001,446.980011,448.130005,254420000,448.130005
1993-08-02,448.130005,450.149994,448.029999,450.149994,230380000,450.149994
1993-08-03,450.149994,450.429993,447.589996,449.269989,253110000,449.269989
1993-08-04,449.269989,449.720001,447.929993,448.540009,230040000,448.540009
1993-08-05,448.549988,449.609985,446.940002,448.130005,261900000,448.130005
1993-08-06,448.130005,449.26001,447.869995,448.679993,221170000,448.679993
1993-08-09,448.679993,451.51001,448.309998,450.720001,232750000,450.720001
1993-08-10,450.709991,450.709991,449.100006,449.450012,255520000,449.450012
1993-08-11,449.600006,451,449.600006,450.459991,268330000,450.459991
1993-08-12,450.470001,451.630005,447.529999,448.959991,278530000,448.959991
1993-08-13,448.970001,450.25,448.970001,450.140015,214370000,450.140015
1993-08-16,450.25,453.410004,450.25,452.380005,233640000,452.380005
1993-08-17,452.380005,453.700012,451.959991,453.130005,261320000,453.130005
1993-08-18,453.209991,456.98999,453.209991,456.040009,312940000,456.040009
1993-08-19,456.01001,456.76001,455.200012,456.429993,293330000,456.429993
1993-08-20,456.51001,456.679993,454.600006,456.160004,276800000,456.160004
1993-08-23,456.119995,456.119995,454.290009,455.230011,212500000,455.230011
1993-08-24,455.230011,459.769989,455.040009,459.769989,270700000,459.769989
1993-08-25,459.75,462.040009,459.299988,460.130005,301650000,460.130005
1993-08-26,460.040009,462.869995,458.820007,461.040009,254070000,461.040009
1993-08-27,461.049988,461.049988,459.190002,460.540009,196140000,460.540009
1993-08-30,460.540009,462.579987,460.279999,461.899994,194180000,461.899994
1993-08-31,461.899994,463.559998,461.290009,463.559998,252830000,463.559998
1993-09-01,463.549988,463.799988,461.769989,463.149994,245040000,463.149994
1993-09-02,463.130005,463.540009,461.070007,461.299988,259870000,461.299988
1993-09-03,461.299988,462.049988,459.910004,461.339996,197160000,461.339996
1993-09-07,461.339996,462.070007,457.950012,458.519989,229500000,458.519989
1993-09-08,458.519989,458.529999,453.75,456.649994,283100000,456.649994
1993-09-09,456.649994,458.109985,455.170013,457.5,258070000,457.5
1993-09-10,457.48999,461.859985,457.48999,461.720001,269950000,461.720001
1993-09-13,461.700012,463.380005,461.410004,462.059998,244970000,462.059998
1993-09-14,461.929993,461.929993,458.149994,459.899994,258650000,459.899994
1993-09-15,459.899994,461.959991,456.309998,461.600006,294410000,461.600006
1993-09-16,461.540009,461.540009,459,459.429993,229700000,459.429993
1993-09-17,459.429993,459.429993,457.089996,458.829987,381370000,458.829987
1993-09-20,458.839996,459.910004,455,455.049988,231130000,455.049988
1993-09-21,455.049988,455.799988,449.640015,452.950012,300310000,452.950012
1993-09-22,452.940002,456.920013,452.940002,456.200012,298960000,456.200012
1993-09-23,456.25,458.690002,456.25,457.73999,275350000,457.73999
